sub ses blk trl soa cond acc rt
10 1 4 64 0.3 0 1 0.26575
10 1 4 65 0.5 0 1 0.18268
10 1 4 66 0.3 0 1 0.24916
10 1 4 67 0.6 2 1 0.56428
10 1 4 68 0.3 0 1 0.26562
10 1 4 69 0.5 0 1 0.066443
10 1 4 70 0.5 0 1 0.16626
10 1 4 71 0.5 0 1 0.066458
10 1 4 72 0.6 2 1 0.26557
10 1 4 73 0.6 0 1 0.16597
10 1 4 74 0.5 2 1 0.16626
10 1 4 75 0.6 0 0 NA
10 1 4 76 0.3 0 1 0.29876
10 1 4 77 0.3 0 1 0.29885
10 1 4 78 0.3 2 1 0.4482
10 1 4 79 0.5 0 1 0.29876
10 1 4 80 0.6 2 1 0.28225
10 1 4 81 0.6 0 1 0.066455
10 1 4 82 0.3 0 1 0.31541
10 1 4 83 0.5 0 1 0.099817
10 1 4 84 0.4 0 1 0.18259
10 1 4 85 0.5 2 1 0.083253
10 1 4 86 0.4 2 1 0.2988
10 1 4 87 0.4 0 1 0.18268
10 1 4 88 0.5 0 1 0.049932
10 1 4 89 0.6 0 1 0.29895
10 1 4 90 0.4 0 1 0.26568
10 1 4 91 0.6 0 1 0.26563
10 1 4 92 0.6 0 1 0.1826
10 1 4 93 0.4 0 1 0.24908
10 1 4 94 0.3 0 1 0.24893
10 1 4 95 0.3 0 1 0.24911
10 1 4 96 0.4 0 1 0.033325
10 1 4 97 0.4 0 1 0.11629
10 1 4 98 0.6 0 1 0.29892
10 1 4 99 0.5 0 1 0.21582
10 1 4 100 0.4 2 1 0.24896
10 1 4 101 0.5 0 1 0.0997
10 1 4 102 0.4 2 1 0.24904
10 1 4 103 0.4 0 1 0.099411
10 1 4 104 0.5 0 1 0.016706
10 1 4 105 0.3 0 1 0.21586
10 1 4 106 0.4 0 1 0.28206
10 1 4 107 0.4 0 1 0.13278
10 1 4 108 0.6 2 0 NA
10 1 4 109 0.4 2 1 0.36512
10 1 4 110 0.4 0 1 0.23254
10 1 4 111 0.5 0 1 0.083083
10 1 4 112 0.4 0 1 0.23231
10 1 4 113 0.3 0 1 0.24912
10 1 4 114 0.3 0 1 0.21586
10 1 4 115 0.6 0 0 NA
10 1 4 116 0.5 0 1 0.28217
10 1 4 117 0.6 0 1 0.28224
10 1 4 118 0.6 0 1 0.33197
10 1 4 119 0.3 0 1 0.24906
10 1 4 120 0.3 2 1 0.36507
10 1 4 121 0.3 0 1 0.28207
10 1 4 122 0.6 0 1 0.23244
10 1 4 123 0.4 0 1 0.24907
10 1 4 124 0.5 0 1 0.21573
10 1 4 125 0.5 2 1 0.19909
