sub ses blk trl arrow cond acc rt
10 1 5 136 2 0 1 0.39314
10 1 5 137 2 1 1 0.34884
10 1 5 138 1 1 1 0.43984
10 1 5 139 2 2 1 0.43711
10 1 5 140 2 1 1 0.40893
10 1 5 141 2 0 1 0.35157
10 1 5 142 1 1 1 0.40101
10 1 5 143 2 0 1 0.27557
10 1 5 144 1 0 1 0.40652
10 2 1 1 1 1 1 0.86749
10 2 1 2 1 2 1 0.48292
10 2 1 3 1 1 1 0.38748
10 2 1 4 1 2 1 0.41165
10 2 1 5 1 1 1 0.37694
10 2 1 6 2 2 1 0.39642
10 2 1 7 1 2 1 0.40932
10 2 1 8 2 0 1 0.30858
10 2 1 9 2 0 1 0.40775
10 2 1 10 1 0 1 0.38711
10 2 1 11 2 1 1 0.31929
