subject,session,date,time,condition,block,trial,rt,wait_time,probe_resp
9006,1,10/04/22,10:19,grey,real,17,0.4097981,5500,NA
9006,1,10/04/22,10:19,grey,real,18,0.422183,4500,NA
9006,1,10/04/22,10:19,grey,real,19,0.4174049,6000,NA
9006,1,10/04/22,10:19,grey,real,20,0.3664848,4500,NA
9006,1,10/04/22,10:19,grey,real,21,0,3500,NA
9006,1,10/04/22,10:19,grey,real,22,0,6500,NA
9006,1,10/04/22,10:19,grey,real,23,0.4293309,7500,NA
9006,1,10/04/22,10:19,grey,real,24,0.4578957,4500,1
9006,1,10/04/22,10:19,grey,real,25,0.3766659,7500,NA
9006,1,10/04/22,10:19,grey,real,26,0.3960524,5000,NA
9006,1,10/04/22,10:19,grey,real,27,0.4546291,4500,NA
9006,1,10/04/22,10:19,grey,real,28,0.3844776,4000,NA
9006,1,10/04/22,10:19,grey,real,29,0.5359201,4000,NA
9006,1,10/04/22,10:19,grey,real,30,0.476388,5000,NA
9006,1,10/04/22,10:19,grey,real,31,0.4444382,2000,NA
9006,1,10/04/22,10:19,grey,real,32,0.3990462,4000,1
9006,1,10/04/22,10:19,grey,real,33,0.317865,7000,NA
9006,1,10/04/22,10:19,grey,real,34,0.7039221,2500,NA
9006,1,10/04/22,10:19,grey,real,35,0.4020878,4500,NA
9006,1,10/04/22,10:19,grey,real,36,0,7000,NA
9006,1,10/04/22,10:19,grey,real,37,0.3537722,8000,NA
9006,1,10/04/22,10:19,grey,real,38,0.5576088,4500,NA
9006,1,10/04/22,10:19,grey,real,39,0.4491253,5500,NA
9006,1,10/04/22,10:19,grey,real,40,0.4561732,5500,1
9006,1,10/04/22,10:19,grey,real,41,0.4853567,3500,NA
9006,1,10/04/22,10:19,grey,real,42,0.471937,2500,NA
9006,1,10/04/22,10:19,grey,real,43,0.4481513,4000,NA
9006,1,10/04/22,10:19,grey,real,44,0,4000,NA
9006,1,10/04/22,10:19,grey,real,45,0,4000,NA
9006,1,10/04/22,10:19,grey,real,46,0.3856561,6500,NA
9006,1,10/04/22,10:19,grey,real,47,0.4247854,3500,NA
9006,1,10/04/22,10:19,grey,real,48,0.4702256,4500,2
9006,1,10/04/22,10:19,grey,real,49,0.4801457,5500,NA
9006,1,10/04/22,10:19,grey,real,50,0.5610829,4500,NA
9006,1,10/04/22,10:19,grey,real,51,0.5035875,6500,NA
9006,1,10/04/22,10:19,grey,real,52,1.2180722,4000,NA
9006,1,10/04/22,10:19,grey,real,53,0.4297509,4500,NA
9006,1,10/04/22,10:19,grey,real,54,0,4000,NA
9006,1,10/04/22,10:19,grey,real,55,0.3907468,6000,NA
9006,1,10/04/22,10:19,grey,real,56,0.4947124,3500,3
9006,1,10/04/22,10:19,grey,real,57,1.0766419,6500,NA
9006,1,10/04/22,10:19,grey,real,58,0.4483936,6500,NA
9006,1,10/04/22,10:19,grey,real,59,1.1628886,5000,NA
9006,1,10/04/22,10:19,grey,real,60,0.473456,5500,NA
9007,1,10/04/22,10:13,grey,practice,1,0,3000,NA
9007,1,10/04/22,10:13,grey,practice,2,0,4000,NA
9007,1,10/04/22,10:13,grey,practice,3,0.5188348,7000,NA
9007,1,10/04/22,10:13,grey,practice,4,0,3500,NA
9007,1,10/04/22,10:13,grey,practice,5,0.4474069,3500,NA
9007,1,10/04/22,10:13,grey,real,1,0.4089641,7000,NA
9007,1,10/04/22,10:13,grey,real,2,0.5059987,8000,NA
9007,1,10/04/22,10:13,grey,real,3,0.8309404,2000,NA
9007,1,10/04/22,10:13,grey,real,4,0.4062256,6000,NA
9007,1,10/04/22,10:13,grey,real,5,0.4064768,7000,NA
9007,1,10/04/22,10:13,grey,real,6,0.4090954,7500,NA
9007,1,10/04/22,10:13,grey,real,7,0.4286187,8000,NA
9007,1,10/04/22,10:13,grey,real,8,0.4133356,4500,1
9007,1,10/04/22,10:13,grey,real,9,0.3878436,3500,NA
9007,1,10/04/22,10:13,grey,real,10,0.3922203,7500,NA
9007,1,10/04/22,10:13,grey,real,11,0.3916142,5500,NA
9007,1,10/04/22,10:13,grey,real,12,0,7500,NA
9007,1,10/04/22,10:13,grey,real,13,0.411994,7500,NA
9007,1,10/04/22,10:13,grey,real,14,0.3937045,8000,NA
9007,1,10/04/22,10:13,grey,real,15,0.4709276,3500,NA
9007,1,10/04/22,10:13,grey,real,16,0.4021075,4000,1
9007,1,10/04/22,10:13,grey,real,17,0.9315027,5500,NA
9007,1,10/04/22,10:13,grey,real,18,0.394444,2000,NA
9007,1,10/04/22,10:13,grey,real,19,0,2500,NA
9007,1,10/04/22,10:13,grey,real,20,0.395594,4500,NA
9007,1,10/04/22,10:13,grey,real,21,0.3696319,8000,NA
9007,1,10/04/22,10:13,grey,real,22,0.41719850000000003,6000,NA
9007,1,10/04/22,10:13,grey,real,23,0.4185367,4000,NA
9007,1,10/04/22,10:13,grey,real,24,0.4217177,5500,1
9007,1,10/04/22,10:13,grey,real,25,0.4436066,3500,NA
9007,1,10/04/22,10:13,grey,real,26,0.4354065,5500,NA
9007,1,10/04/22,10:13,grey,real,27,0.440206,7000,NA
9007,1,10/04/22,10:13,grey,real,28,0,3000,NA
9007,1,10/04/22,10:13,grey,real,29,0.4367379,4000,NA
9007,1,10/04/22,10:13,grey,real,30,0.5149427,3000,NA
9007,1,10/04/22,10:13,grey,real,31,0.405542,5500,NA
9007,1,10/04/22,10:13,grey,real,32,0.4423919,2500,1
9007,1,10/04/22,10:13,grey,real,33,0.4166684,3500,NA
9007,1,10/04/22,10:13,grey,real,34,0.3928168,2500,NA
9007,1,10/04/22,10:13,grey,real,35,0,3500,NA
9007,1,10/04/22,10:13,grey,real,36,0.3954113,3000,NA
9007,1,10/04/22,10:13,grey,real,37,0.4869907,7500,NA
9007,1,10/04/22,10:13,grey,real,38,0.4256066,6500,NA
9007,1,10/04/22,10:13,grey,real,39,0.4460944,6000,NA
9007,1,10/04/22,10:13,grey,real,40,0.41397080000000003,4500,1
9007,1,10/04/22,10:13,grey,real,41,0.367139,3000,NA
9007,1,10/04/22,10:13,grey,real,42,0.3934539,6500,NA
9007,1,10/04/22,10:13,grey,real,43,0.4429799,2000,NA
9007,1,10/04/22,10:13,grey,real,44,0.368422,6000,NA
9007,1,10/04/22,10:13,grey,real,45,0.4062848,6500,NA
9007,1,10/04/22,10:13,grey,real,46,0.6472065,2000,NA
9007,1,10/04/22,10:13,grey,real,47,0.4592175,2500,NA
9007,1,10/04/22,10:13,grey,real,48,0.4199106,3000,4
9007,1,10/04/22,10:13,grey,real,49,0,8000,NA
9007,1,10/04/22,10:13,grey,real,50,0.4381695,3000,NA
9007,1,10/04/22,10:13,grey,real,51,0.3824469,5000,NA
9007,1,10/04/22,10:13,grey,real,52,0.4805079,2000,NA
9007,1,10/04/22,10:13,grey,real,53,0.4534153,3000,NA
9007,1,10/04/22,10:13,grey,real,54,0.3879257,5000,NA
9007,1,10/04/22,10:13,grey,real,55,0.4043784,4500,NA
9007,1,10/04/22,10:13,grey,real,56,0.6591484,2000,5
9007,1,10/04/22,10:13,grey,real,57,0.4570645,2000,NA
9007,1,10/04/22,10:13,grey,real,58,0,3000,NA
9007,1,10/04/22,10:13,grey,real,59,0.4256261,4500,NA
9007,1,10/04/22,10:13,grey,real,60,0.3734975,5500,NA
9008,1,10/04/22,13:51,grey,practice,1,0,4000,NA
9008,1,10/04/22,13:51,grey,practice,2,0,5000,NA
9008,1,10/04/22,13:51,grey,practice,3,0.3404586,5000,NA
9008,1,10/04/22,13:51,grey,practice,4,0.2730044,6500,NA
9008,1,10/04/22,13:51,grey,practice,5,0,5000,NA
9008,1,10/04/22,13:51,grey,real,1,0.4051328,2000,NA
9008,1,10/04/22,13:51,grey,real,2,0.2894818,6000,NA
9008,1,10/04/22,13:51,grey,real,3,0.3104665,4000,NA
9008,1,10/04/22,13:51,grey,real,4,0.3589043,3000,NA
9008,1,10/04/22,13:51,grey,real,5,0.2994193,6000,NA
9008,1,10/04/22,13:51,grey,real,6,0.2834469,4500,NA
9008,1,10/04/22,13:51,grey,real,7,0.3588659,3000,NA
9008,1,10/04/22,13:51,grey,real,8,0.3259213,4500,1
9008,1,10/04/22,13:51,grey,real,9,0.2882874,5000,NA
9008,1,10/04/22,13:51,grey,real,10,0.3614511,8000,NA
9008,1,10/04/22,13:51,grey,real,11,0.3007095,6000,NA
9008,1,10/04/22,13:51,grey,real,12,0.2895357,7500,NA
9008,1,10/04/22,13:51,grey,real,13,0.2719121,5500,NA
9008,1,10/04/22,13:51,grey,real,14,0.2848169,5000,NA
9008,1,10/04/22,13:51,grey,real,15,0,7500,NA
9008,1,10/04/22,13:51,grey,real,16,0.3237272,6500,1
9008,1,10/04/22,13:51,grey,real,17,0.3225846,3000,NA
9008,1,10/04/22,13:51,grey,real,18,0.2330003,7000,NA
9008,1,10/04/22,13:51,grey,real,19,0.4105627,2000,NA
