subject,session,block,trial,subtrial,trialtype,setsize,resp,acc,rt,proberesp
9007,1,real,18,18,change,6,j,1,1559.1437,NA
9007,1,real,19,19,change,6,j,1,1962.1476,NA
9007,1,real,20,20,nochange,6,f,1,982.8279,NA
9007,1,real,21,21,change,6,j,1,1414.7853,NA
9007,1,real,22,22,change,6,f,0,1522.3509,NA
9007,1,real,23,23,nochange,6,f,1,3470.3866,NA
9007,1,real,24,24,nochange,6,j,0,1102.3797,2
9007,1,real,25,25,change,6,j,1,1956.7566,NA
9007,1,real,26,26,nochange,6,j,0,4090.0901,NA
9007,1,real,27,27,change,6,j,1,973.2381,NA
9007,1,real,28,28,nochange,6,f,1,1960.4371,NA
9007,1,real,29,29,nochange,6,f,1,1198.4002,NA
9007,1,real,30,30,nochange,6,f,1,3016.5268,NA
9007,1,real,31,31,nochange,6,f,1,1061.0616,NA
9007,1,real,32,32,change,6,j,1,1463.2261,2
9007,1,real,33,33,change,6,j,1,2090.141,NA
9007,1,real,34,34,nochange,6,f,1,1051.8366,NA
9007,1,real,35,35,change,6,j,1,1539.2183,NA
9007,1,real,36,36,nochange,6,f,1,1037.24,NA
9007,1,real,37,37,change,6,j,1,1398.7025,NA
9007,1,real,38,38,nochange,6,f,1,1054.3751,NA
9007,1,real,39,39,change,6,j,1,1339.8182,NA
9007,1,real,40,40,change,6,j,1,1574.3874,1
9007,1,real,41,41,nochange,6,j,0,995.4491,NA
9007,1,real,42,42,change,6,j,1,1114.367,NA
9007,1,real,43,43,change,6,f,0,1128.369,NA
9007,1,real,44,44,change,6,f,0,1392.7564,NA
9007,1,real,45,45,nochange,6,f,1,1202.5807,NA
9007,1,real,46,46,change,6,j,1,1107.405,NA
9007,1,real,47,47,nochange,6,j,0,2034.6125,NA
9007,1,real,48,48,change,6,j,1,1495.2317,1
9007,1,real,49,49,nochange,6,j,0,1354.155,NA
9007,1,real,50,50,nochange,6,f,1,947.6469,NA
9007,1,real,51,51,change,6,j,1,1292.8516,NA
9007,1,real,52,52,nochange,6,f,1,1236.5704,NA
9007,1,real,53,53,change,6,j,1,1895.0643,NA
9007,1,real,54,54,change,6,f,0,3092.5694,NA
9007,1,real,55,55,nochange,6,f,1,876.9635,NA
9007,1,real,56,56,change,6,j,1,1422.0422,1
9007,1,real,57,57,change,6,j,1,1384.6623,NA
9007,1,real,58,58,nochange,6,f,1,986.5,NA
9007,1,real,59,59,nochange,6,j,0,801.7995,NA
9007,1,real,60,60,change,6,j,1,3803.9902,NA
9008,1,practice,0,1,nochange,6,j,0,313.3249,NA
9008,1,practice,0,2,nochange,6,f,1,574.2603,NA
9008,1,practice,0,3,nochange,6,f,1,1110.014,NA
9008,1,practice,0,4,change,6,j,1,1217.3148,NA
9008,1,practice,0,5,change,6,j,1,1041.9455,NA
9008,1,practice,0,6,change,6,f,0,1220.0716,NA
9008,1,real,1,1,change,6,j,1,861.1009,NA
9008,1,real,2,2,change,6,j,1,1277.1265,NA
9008,1,real,3,3,nochange,6,f,1,941.8382,NA
9008,1,real,4,4,change,6,f,0,1522.0072,NA
9008,1,real,5,5,nochange,6,j,0,1599.0565,NA
9008,1,real,6,6,change,6,j,1,1317.9256,NA
9008,1,real,7,7,nochange,6,f,1,1325.482,NA
9008,1,real,8,8,change,6,j,1,1144.7875,5
9008,1,real,9,9,change,6,f,0,1780.4545,NA
9008,1,real,10,10,change,6,j,1,1063.1283,NA
