sub session blk trl stim cond acc rt
11 2 3 135 1 1 1 0.55466
11 2 3 136 2 2 1 0.35518
11 2 3 138 1 1 1 0.48127
11 2 3 141 1 1 1 0.45382
11 2 3 143 1 2 1 0.35604
11 2 4 12 2 1 1 0.43147
11 2 4 14 1 2 1 0.51213
11 2 4 16 1 2 1 0.40793
11 2 4 17 2 1 1 0.37955
11 2 4 18 1 1 1 0.3594
11 2 4 19 2 1 1 0.29788
11 2 4 20 1 1 1 0.33136
11 2 4 22 1 2 1 0.37925
11 2 4 23 1 1 1 0.3819
11 2 4 26 1 2 1 0.35351
11 2 4 27 1 1 1 0.45883
11 2 4 28 1 2 1 0.61024
11 2 4 30 1 2 1 0.52466
11 2 4 32 2 2 1 0.42553
11 2 4 33 2 2 1 0.42289
11 2 4 34 1 1 1 0.56188
11 2 4 35 2 1 1 0.42808
11 2 4 40 1 1 1 0.3489
11 2 4 43 1 1 1 0.43946
11 2 4 44 1 2 1 0.33318
11 2 4 45 1 2 1 0.44623
11 2 4 46 1 1 1 0.36661
11 2 4 49 1 1 1 0.42104
11 2 4 50 2 1 1 0.44061
11 2 4 51 2 1 1 0.49457
11 2 4 52 2 1 1 0.39676
11 2 4 53 2 2 1 0.54766
11 2 4 54 1 2 1 0.65106
11 2 4 55 2 1 1 0.45735
11 2 4 56 1 2 1 0.46461
11 2 4 58 1 1 1 0.33747
11 2 4 59 1 1 1 0.38833
11 2 4 61 1 2 1 0.42067
11 2 4 63 1 2 1 0.38152
11 2 4 64 2 1 1 0.30027
11 2 4 65 1 1 1 0.41122
11 2 4 68 1 1 1 0.55643
11 2 4 71 2 2 1 0.48223
11 2 4 73 2 1 1 0.37031
11 2 4 74 2 1 1 0.46639
11 2 4 75 2 1 1 0.33539
11 2 4 76 2 2 1 0.30105
11 2 4 78 2 2 1 0.46135
11 2 4 79 2 1 1 0.30086
11 2 4 80 1 2 1 0.55787
11 2 4 81 2 1 1 0.42863
11 2 4 82 2 1 1 0.38569
11 2 4 83 1 1 1 0.55035
11 2 4 86 2 1 1 0.47847
11 2 4 87 1 1 1 0.42806
11 2 4 89 2 1 1 0.40748
11 2 4 91 1 1 1 0.46127
11 2 4 92 1 1 1 0.41308
11 2 4 93 2 2 1 0.46685
11 2 4 94 2 1 1 0.54235
11 2 4 97 1 1 1 0.4451
11 2 4 98 1 1 1 0.48226
11 2 4 99 1 2 1 0.42428
11 2 4 100 1 2 1 0.38246
11 2 4 102 2 1 1 0.34273
11 2 4 103 1 2 1 0.53122
11 2 4 104 2 1 1 0.42493
11 2 4 107 1 2 1 0.51108
11 2 4 108 1 2 1 0.43666
11 2 4 110 1 1 1 0.44908
11 2 4 112 2 2 1 0.33733
11 2 4 113 2 2 1 0.37974
11 2 4 114 1 2 1 0.48786
11 2 4 115 2 2 1 0.46951
11 2 4 116 1 1 1 0.4673
11 2 4 117 2 1 1 0.52182
11 2 4 118 2 2 1 0.68925
