Subject,Task,TrialProc,Block,Trial,Accuracy,RT,Response,CorrectResponse,Stimulus_1,Stimulus_2,TargetLength,Distractor_Location,LetterComp.Total,NumberComp.Total,LetterComp_1.Total,LetterComp_2.Total,NumberComp_1.Total,NumberComp_2.Total,SessionDate,SessionTime
14012,LetterComparison,practice,NA,1,1,7218,same,same,WDYJTCSNX,WDYJTCSNX,NA,NA,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,practice,NA,2,1,3208,different,different,TRYQZN,TRFQZN,NA,NA,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,practice,NA,3,1,2110,same,same,DRKSGM,DRKSGM,NA,NA,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,practice,NA,4,1,1928,different,different,SVX,SVK,NA,NA,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,practice,NA,5,1,1666,same,same,YZG,YZG,NA,NA,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,practice,NA,6,0,3621,same,different,VMJXFYZLQ,VMJKFYZLQ,NA,NA,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,real,1,1,1,3413,same,same,BGJWQS,BGJWQS,6,0,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,real,1,2,1,3944,same,same,RKTDCM,RKTDCM,6,0,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,real,1,3,1,6758,same,same,FKGZMSWPX,FKGZMSWPX,9,0,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,real,1,4,1,6100,same,same,SJZHDC,SJZHDC,6,0,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,real,1,5,1,7516,same,same,MYSRGTHBV,MYSRGTHBV,9,0,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,real,1,6,1,1532,different,different,SKY,SCY,3,2,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,real,1,7,1,1546,same,same,FJM,FJM,3,0,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,real,2,1,1,2845,same,same,THKBYZ,THKBYZ,6,0,15,31,7,8,17,14,10-22-2014,09:56:15
14012,LetterComparison,real,2,2,1,3423,same,same,GCFPNX,GCFPNX,6,0,15,31,7,8,17,14,10-22-2014,09:56:15
