Subject,Block,Trial,SetSize,SubTrial,SubTrialProc,RT,Accuracy,Response,CorrectResponse,MemoryItem,Processing.total,Recall.total,RotSpan.Absolute,RotSpan.Partial,RotSpan.Partial_Block1,RotSpan.Partial_Block2,RotSpan.RotationACC,RotSpan.RotationDuration,SessionDate,SessionTime
14001,2,4,6,4,ProcessingTask,664,1,TRUE,TRUE,11,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,4,6,5,ProcessingTask,436,1,TRUE,TRUE,7,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,4,6,6,ProcessingTask,365,1,TRUE,TRUE,2,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,4,6,7,Recall,NA,1,8,8,NA,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,4,6,8,Recall,NA,1,5,5,NA,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,4,6,9,Recall,NA,0,11,13,NA,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,4,6,10,Recall,NA,0,13,11,NA,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,4,6,11,Recall,NA,1,7,7,NA,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,4,6,12,Recall,NA,NA,NA,2,NA,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,5,4,1,ProcessingTask,437,1,FALSE,FALSE,14,4,4,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
