Subject,TrialProc,Trial,Accuracy,RT,Target,FixationDuration,SessionDate,SessionTime
12013,real,25,1,310,Q,1000,02-20-2015,16:13:47
12013,real,26,1,339,Q,2000,02-20-2015,16:13:47
12013,real,27,0,669,O,2000,02-20-2015,16:13:47
12013,real,28,1,955,Q,1000,02-20-2015,16:13:47
12013,real,29,1,397,O,2000,02-20-2015,16:13:47
12013,real,30,1,406,Q,2000,02-20-2015,16:13:47
12013,real,31,1,399,Q,1000,02-20-2015,16:13:47
12013,real,32,1,406,O,2000,02-20-2015,16:13:47
12013,real,33,1,319,O,1000,02-20-2015,16:13:47
12013,real,34,1,322,Q,2000,02-20-2015,16:13:47
12013,real,35,1,1422,O,1000,02-20-2015,16:13:47
12013,real,36,1,541,O,2000,02-20-2015,16:13:47
12013,real,37,1,392,Q,1000,02-20-2015,16:13:47
12013,real,38,1,865,O,2000,02-20-2015,16:13:47
12013,real,39,1,335,Q,2000,02-20-2015,16:13:47
12013,real,40,1,682,O,1000,02-20-2015,16:13:47
12013,real,41,1,671,Q,1000,02-20-2015,16:13:47
12013,real,42,1,429,Q,2000,02-20-2015,16:13:47
12013,real,43,1,420,O,2000,02-20-2015,16:13:47
12013,real,44,1,412,O,2000,02-20-2015,16:13:47
12013,real,45,1,547,Q,2000,02-20-2015,16:13:47
12013,real,46,1,350,Q,1000,02-20-2015,16:13:47
12013,real,47,1,264,Q,1000,02-20-2015,16:13:47
12013,real,48,1,422,O,2000,02-20-2015,16:13:47
12014,practice,1,1,1010,Q,2000,02-23-2015,09:51:25
12014,practice,2,1,1211,O,2000,02-23-2015,09:51:25
12014,practice,3,1,906,O,2000,02-23-2015,09:51:25
12014,practice,4,1,767,O,2000,02-23-2015,09:51:25
12014,practice,5,1,673,Q,1000,02-23-2015,09:51:25
12014,practice,6,1,918,Q,2000,02-23-2015,09:51:25
12014,practice,7,1,482,Q,1000,02-23-2015,09:51:25
12014,practice,8,1,1735,Q,1000,02-23-2015,09:51:25
12014,practice,9,1,1258,Q,1000,02-23-2015,09:51:25
12014,practice,10,0,1503,O,1000,02-23-2015,09:51:25
12014,practice,11,1,868,O,1000,02-23-2015,09:51:25
12014,practice,12,1,953,O,2000,02-23-2015,09:51:25
